group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench atonce with size 4096,SHA512,,,,66119.0,ns,2
bench atonce with size 4096,SHA512,,,,54809.0,ns,4
bench atonce with size 4096,SHA512,,,,57219.0,ns,6
bench atonce with size 4096,SHA512,,,,150184.0,ns,8
bench atonce with size 4096,SHA512,,,,95487.0,ns,10
bench atonce with size 4096,SHA512,,,,133977.0,ns,12
bench atonce with size 4096,SHA512,,,,268316.0,ns,14
bench atonce with size 4096,SHA512,,,,153347.0,ns,16
bench atonce with size 4096,SHA512,,,,171489.0,ns,18
bench atonce with size 4096,SHA512,,,,190607.0,ns,20
bench atonce with size 4096,SHA512,,,,209517.0,ns,22
bench atonce with size 4096,SHA512,,,,228640.0,ns,24
bench atonce with size 4096,SHA512,,,,247726.0,ns,26
bench atonce with size 4096,SHA512,,,,366614.0,ns,28
bench atonce with size 4096,SHA512,,,,505140.0,ns,30
bench atonce with size 4096,SHA512,,,,307765.0,ns,32
bench atonce with size 4096,SHA512,,,,327458.0,ns,34
bench atonce with size 4096,SHA512,,,,496329.0,ns,36
bench atonce with size 4096,SHA512,,,,364968.0,ns,38
bench atonce with size 4096,SHA512,,,,383262.0,ns,40
bench atonce with size 4096,SHA512,,,,584313.0,ns,42
bench atonce with size 4096,SHA512,,,,421658.0,ns,44
bench atonce with size 4096,SHA512,,,,506045.0,ns,46
bench atonce with size 4096,SHA512,,,,631484.0,ns,48
bench atonce with size 4096,SHA512,,,,675587.0,ns,50
bench atonce with size 4096,SHA512,,,,495282.0,ns,52
bench atonce with size 4096,SHA512,,,,668487.0,ns,54
bench atonce with size 4096,SHA512,,,,919425.0,ns,56
bench atonce with size 4096,SHA512,,,,914831.0,ns,58
bench atonce with size 4096,SHA512,,,,739422.0,ns,60
bench atonce with size 4096,SHA512,,,,590505.0,ns,62
bench atonce with size 4096,SHA512,,,,609479.0,ns,64
bench atonce with size 4096,SHA512,,,,653796.0,ns,66
bench atonce with size 4096,SHA512,,,,665499.0,ns,68
bench atonce with size 4096,SHA512,,,,684720.0,ns,70
bench atonce with size 4096,SHA512,,,,704123.0,ns,72
bench atonce with size 4096,SHA512,,,,724055.0,ns,74
bench atonce with size 4096,SHA512,,,,742588.0,ns,76
bench atonce with size 4096,SHA512,,,,762345.0,ns,78
bench atonce with size 4096,SHA512,,,,781753.0,ns,80
bench atonce with size 4096,SHA512,,,,801197.0,ns,82
bench atonce with size 4096,SHA512,,,,821076.0,ns,84
bench atonce with size 4096,SHA512,,,,872759.0,ns,86
bench atonce with size 4096,SHA512,,,,1096215.0,ns,88
bench atonce with size 4096,SHA512,,,,1043176.0,ns,90
bench atonce with size 4096,SHA512,,,,986592.0,ns,92
bench atonce with size 4096,SHA512,,,,919655.0,ns,94
bench atonce with size 4096,SHA512,,,,1087069.0,ns,96
bench atonce with size 4096,SHA512,,,,958921.0,ns,98
bench atonce with size 4096,SHA512,,,,978485.0,ns,100
bench atonce with size 4096,SHA512,,,,997955.0,ns,102
bench atonce with size 4096,SHA512,,,,1017618.0,ns,104
bench atonce with size 4096,SHA512,,,,1037032.0,ns,106
bench atonce with size 4096,SHA512,,,,1056607.0,ns,108
bench atonce with size 4096,SHA512,,,,1078474.0,ns,110
bench atonce with size 4096,SHA512,,,,1096107.0,ns,112
bench atonce with size 4096,SHA512,,,,1115395.0,ns,114
bench atonce with size 4096,SHA512,,,,1163612.0,ns,116
bench atonce with size 4096,SHA512,,,,1154444.0,ns,118
bench atonce with size 4096,SHA512,,,,1364147.0,ns,120
bench atonce with size 4096,SHA512,,,,1194069.0,ns,122
bench atonce with size 4096,SHA512,,,,1344048.0,ns,124
bench atonce with size 4096,SHA512,,,,1233729.0,ns,126
bench atonce with size 4096,SHA512,,,,1235708.0,ns,128
bench atonce with size 4096,SHA512,,,,1275394.0,ns,130
bench atonce with size 4096,SHA512,,,,1258178.0,ns,132
bench atonce with size 4096,SHA512,,,,1277215.0,ns,134
bench atonce with size 4096,SHA512,,,,1649057.0,ns,136
bench atonce with size 4096,SHA512,,,,1410907.0,ns,138
bench atonce with size 4096,SHA512,,,,1371307.0,ns,140
bench atonce with size 4096,SHA512,,,,1354119.0,ns,142
bench atonce with size 4096,SHA512,,,,1372716.0,ns,144
bench atonce with size 4096,SHA512,,,,1392918.0,ns,146
bench atonce with size 4096,SHA512,,,,1447614.0,ns,148
bench atonce with size 4096,SHA512,,,,1431292.0,ns,150
bench atonce with size 4096,SHA512,,,,1448426.0,ns,152
bench atonce with size 4096,SHA512,,,,1487225.0,ns,154
bench atonce with size 4096,SHA512,,,,1540157.0,ns,156
bench atonce with size 4096,SHA512,,,,1505953.0,ns,158
bench atonce with size 4096,SHA512,,,,1524827.0,ns,160
bench atonce with size 4096,SHA512,,,,1543863.0,ns,162
bench atonce with size 4096,SHA512,,,,1711748.0,ns,164
bench atonce with size 4096,SHA512,,,,1850195.0,ns,166
bench atonce with size 4096,SHA512,,,,1601633.0,ns,168
bench atonce with size 4096,SHA512,,,,1620314.0,ns,170
bench atonce with size 4096,SHA512,,,,1675919.0,ns,172
bench atonce with size 4096,SHA512,,,,1658645.0,ns,174
bench atonce with size 4096,SHA512,,,,1679245.0,ns,176
bench atonce with size 4096,SHA512,,,,1697049.0,ns,178
bench atonce with size 4096,SHA512,,,,1752150.0,ns,180
bench atonce with size 4096,SHA512,,,,1795517.0,ns,182
bench atonce with size 4096,SHA512,,,,1753644.0,ns,184
bench atonce with size 4096,SHA512,,,,1810324.0,ns,186
bench atonce with size 4096,SHA512,,,,1904491.0,ns,188
bench atonce with size 4096,SHA512,,,,1811385.0,ns,190
bench atonce with size 4096,SHA512,,,,1866377.0,ns,192
bench atonce with size 4096,SHA512,,,,1885723.0,ns,194
bench atonce with size 4096,SHA512,,,,1867782.0,ns,196
bench atonce with size 4096,SHA512,,,,2037132.0,ns,198
bench atonce with size 4096,SHA512,,,,1944600.0,ns,200
bench atonce with size 4096,SHA512,,,,2079784.0,ns,202
bench atonce with size 4096,SHA512,,,,2301156.0,ns,204
bench atonce with size 4096,SHA512,,,,2424462.0,ns,206
bench atonce with size 4096,SHA512,,,,1981823.0,ns,208
bench atonce with size 4096,SHA512,,,,2057427.0,ns,210
bench atonce with size 4096,SHA512,,,,2019172.0,ns,212
bench atonce with size 4096,SHA512,,,,2040129.0,ns,214
bench atonce with size 4096,SHA512,,,,2113260.0,ns,216
bench atonce with size 4096,SHA512,,,,2077418.0,ns,218
bench atonce with size 4096,SHA512,,,,2096053.0,ns,220
bench atonce with size 4096,SHA512,,,,2151695.0,ns,222
bench atonce with size 4096,SHA512,,,,2135360.0,ns,224
bench atonce with size 4096,SHA512,,,,2152945.0,ns,226
bench atonce with size 4096,SHA512,,,,2281309.0,ns,228
bench atonce with size 4096,SHA512,,,,2190397.0,ns,230
bench atonce with size 4096,SHA512,,,,2210801.0,ns,232
