group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench atonce with size 64,BLAKE2S,,,,10767.0,ns,46
bench atonce with size 64,BLAKE2S,,,,19853.0,ns,92
bench atonce with size 64,BLAKE2S,,,,49999.0,ns,138
bench atonce with size 64,BLAKE2S,,,,54703.0,ns,184
bench atonce with size 64,BLAKE2S,,,,49960.0,ns,230
bench atonce with size 64,BLAKE2S,,,,100277.0,ns,276
bench atonce with size 64,BLAKE2S,,,,99206.0,ns,322
bench atonce with size 64,BLAKE2S,,,,80239.0,ns,368
bench atonce with size 64,BLAKE2S,,,,108780.0,ns,414
bench atonce with size 64,BLAKE2S,,,,157988.0,ns,460
bench atonce with size 64,BLAKE2S,,,,160802.0,ns,506
bench atonce with size 64,BLAKE2S,,,,119686.0,ns,552
bench atonce with size 64,BLAKE2S,,,,128760.0,ns,598
bench atonce with size 64,BLAKE2S,,,,138630.0,ns,644
bench atonce with size 64,BLAKE2S,,,,148497.0,ns,690
bench atonce with size 64,BLAKE2S,,,,158453.0,ns,736
bench atonce with size 64,BLAKE2S,,,,168352.0,ns,782
bench atonce with size 64,BLAKE2S,,,,178212.0,ns,828
bench atonce with size 64,BLAKE2S,,,,188078.0,ns,874
bench atonce with size 64,BLAKE2S,,,,253691.0,ns,920
bench atonce with size 64,BLAKE2S,,,,390726.0,ns,966
bench atonce with size 64,BLAKE2S,,,,236113.0,ns,1012
bench atonce with size 64,BLAKE2S,,,,229751.0,ns,1058
bench atonce with size 64,BLAKE2S,,,,243149.0,ns,1104
bench atonce with size 64,BLAKE2S,,,,308323.0,ns,1150
bench atonce with size 64,BLAKE2S,,,,315506.0,ns,1196
bench atonce with size 64,BLAKE2S,,,,270581.0,ns,1242
bench atonce with size 64,BLAKE2S,,,,278666.0,ns,1288
bench atonce with size 64,BLAKE2S,,,,289488.0,ns,1334
bench atonce with size 64,BLAKE2S,,,,301497.0,ns,1380
bench atonce with size 64,BLAKE2S,,,,307931.0,ns,1426
bench atonce with size 64,BLAKE2S,,,,360822.0,ns,1472
bench atonce with size 64,BLAKE2S,,,,448728.0,ns,1518
bench atonce with size 64,BLAKE2S,,,,524936.0,ns,1564
bench atonce with size 64,BLAKE2S,,,,448333.0,ns,1610
bench atonce with size 64,BLAKE2S,,,,373194.0,ns,1656
bench atonce with size 64,BLAKE2S,,,,425840.0,ns,1702
bench atonce with size 64,BLAKE2S,,,,557640.0,ns,1748
bench atonce with size 64,BLAKE2S,,,,612946.0,ns,1794
bench atonce with size 64,BLAKE2S,,,,600456.0,ns,1840
bench atonce with size 64,BLAKE2S,,,,492389.0,ns,1886
bench atonce with size 64,BLAKE2S,,,,417638.0,ns,1932
bench atonce with size 64,BLAKE2S,,,,427467.0,ns,1978
bench atonce with size 64,BLAKE2S,,,,437405.0,ns,2024
bench atonce with size 64,BLAKE2S,,,,447379.0,ns,2070
bench atonce with size 64,BLAKE2S,,,,514656.0,ns,2116
bench atonce with size 64,BLAKE2S,,,,479637.0,ns,2162
bench atonce with size 64,BLAKE2S,,,,490154.0,ns,2208
bench atonce with size 64,BLAKE2S,,,,500207.0,ns,2254
bench atonce with size 64,BLAKE2S,,,,510660.0,ns,2300
bench atonce with size 64,BLAKE2S,,,,520722.0,ns,2346
bench atonce with size 64,BLAKE2S,,,,530869.0,ns,2392
bench atonce with size 64,BLAKE2S,,,,541040.0,ns,2438
bench atonce with size 64,BLAKE2S,,,,657571.0,ns,2484
bench atonce with size 64,BLAKE2S,,,,561157.0,ns,2530
bench atonce with size 64,BLAKE2S,,,,571687.0,ns,2576
bench atonce with size 64,BLAKE2S,,,,581828.0,ns,2622
bench atonce with size 64,BLAKE2S,,,,592141.0,ns,2668
bench atonce with size 64,BLAKE2S,,,,636468.0,ns,2714
bench atonce with size 64,BLAKE2S,,,,640578.0,ns,2760
bench atonce with size 64,BLAKE2S,,,,622739.0,ns,2806
bench atonce with size 64,BLAKE2S,,,,633117.0,ns,2852
bench atonce with size 64,BLAKE2S,,,,653968.0,ns,2898
bench atonce with size 64,BLAKE2S,,,,636164.0,ns,2944
bench atonce with size 64,BLAKE2S,,,,646066.0,ns,2990
bench atonce with size 64,BLAKE2S,,,,656072.0,ns,3036
bench atonce with size 64,BLAKE2S,,,,739145.0,ns,3082
bench atonce with size 64,BLAKE2S,,,,678231.0,ns,3128
bench atonce with size 64,BLAKE2S,,,,925233.0,ns,3174
bench atonce with size 64,BLAKE2S,,,,820451.0,ns,3220
bench atonce with size 64,BLAKE2S,,,,701555.0,ns,3266
bench atonce with size 64,BLAKE2S,,,,784722.0,ns,3312
bench atonce with size 64,BLAKE2S,,,,723186.0,ns,3358
bench atonce with size 64,BLAKE2S,,,,732747.0,ns,3404
bench atonce with size 64,BLAKE2S,,,,827515.0,ns,3450
bench atonce with size 64,BLAKE2S,,,,752466.0,ns,3496
bench atonce with size 64,BLAKE2S,,,,890278.0,ns,3542
bench atonce with size 64,BLAKE2S,,,,894949.0,ns,3588
bench atonce with size 64,BLAKE2S,,,,782344.0,ns,3634
bench atonce with size 64,BLAKE2S,,,,792157.0,ns,3680
bench atonce with size 64,BLAKE2S,,,,802282.0,ns,3726
bench atonce with size 64,BLAKE2S,,,,813691.0,ns,3772
bench atonce with size 64,BLAKE2S,,,,967394.0,ns,3818
bench atonce with size 64,BLAKE2S,,,,832060.0,ns,3864
bench atonce with size 64,BLAKE2S,,,,841694.0,ns,3910
bench atonce with size 64,BLAKE2S,,,,851553.0,ns,3956
bench atonce with size 64,BLAKE2S,,,,861863.0,ns,4002
bench atonce with size 64,BLAKE2S,,,,871526.0,ns,4048
bench atonce with size 64,BLAKE2S,,,,909738.0,ns,4094
bench atonce with size 64,BLAKE2S,,,,964290.0,ns,4140
bench atonce with size 64,BLAKE2S,,,,1058382.0,ns,4186
bench atonce with size 64,BLAKE2S,,,,952143.0,ns,4232
bench atonce with size 64,BLAKE2S,,,,926067.0,ns,4278
bench atonce with size 64,BLAKE2S,,,,972131.0,ns,4324
bench atonce with size 64,BLAKE2S,,,,945665.0,ns,4370
bench atonce with size 64,BLAKE2S,,,,1072561.0,ns,4416
bench atonce with size 64,BLAKE2S,,,,965815.0,ns,4462
bench atonce with size 64,BLAKE2S,,,,975980.0,ns,4508
bench atonce with size 64,BLAKE2S,,,,985320.0,ns,4554
bench atonce with size 64,BLAKE2S,,,,995330.0,ns,4600
bench atonce with size 64,BLAKE2S,,,,1001954.0,ns,4646
bench atonce with size 64,BLAKE2S,,,,1069061.0,ns,4692
bench atonce with size 64,BLAKE2S,,,,1020227.0,ns,4738
bench atonce with size 64,BLAKE2S,,,,1029644.0,ns,4784
bench atonce with size 64,BLAKE2S,,,,1039498.0,ns,4830
bench atonce with size 64,BLAKE2S,,,,1230892.0,ns,4876
bench atonce with size 64,BLAKE2S,,,,1135380.0,ns,4922
bench atonce with size 64,BLAKE2S,,,,1105957.0,ns,4968
bench atonce with size 64,BLAKE2S,,,,1079390.0,ns,5014
bench atonce with size 64,BLAKE2S,,,,1091001.0,ns,5060
bench atonce with size 64,BLAKE2S,,,,1099315.0,ns,5106
bench atonce with size 64,BLAKE2S,,,,1288026.0,ns,5152
bench atonce with size 64,BLAKE2S,,,,1119297.0,ns,5198
bench atonce with size 64,BLAKE2S,,,,1200652.0,ns,5244
bench atonce with size 64,BLAKE2S,,,,1139211.0,ns,5290
bench atonce with size 64,BLAKE2S,,,,1148339.0,ns,5336
bench atonce with size 64,BLAKE2S,,,,1158786.0,ns,5382
bench atonce with size 64,BLAKE2S,,,,1168513.0,ns,5428
bench atonce with size 64,BLAKE2S,,,,1270215.0,ns,5474
bench atonce with size 64,BLAKE2S,,,,1188058.0,ns,5520
bench atonce with size 64,BLAKE2S,,,,1198341.0,ns,5566
bench atonce with size 64,BLAKE2S,,,,1208160.0,ns,5612
bench atonce with size 64,BLAKE2S,,,,1218076.0,ns,5658
bench atonce with size 64,BLAKE2S,,,,1269440.0,ns,5704
bench atonce with size 64,BLAKE2S,,,,1368916.0,ns,5750
bench atonce with size 64,BLAKE2S,,,,1310129.0,ns,5796
bench atonce with size 64,BLAKE2S,,,,1258618.0,ns,5842
bench atonce with size 64,BLAKE2S,,,,1267836.0,ns,5888
bench atonce with size 64,BLAKE2S,,,,1434107.0,ns,5934
bench atonce with size 64,BLAKE2S,,,,1287643.0,ns,5980
bench atonce with size 64,BLAKE2S,,,,1297333.0,ns,6026
bench atonce with size 64,BLAKE2S,,,,1307243.0,ns,6072
bench atonce with size 64,BLAKE2S,,,,1354307.0,ns,6118
bench atonce with size 64,BLAKE2S,,,,1328428.0,ns,6164
bench atonce with size 64,BLAKE2S,,,,1336821.0,ns,6210
bench atonce with size 64,BLAKE2S,,,,1385222.0,ns,6256
bench atonce with size 64,BLAKE2S,,,,1397123.0,ns,6302
bench atonce with size 64,BLAKE2S,,,,1366559.0,ns,6348
bench atonce with size 64,BLAKE2S,,,,1376486.0,ns,6394
bench atonce with size 64,BLAKE2S,,,,1386130.0,ns,6440
