group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench atonce with size 2048,SHA384,,,,10192.0,ns,2
bench atonce with size 2048,SHA384,,,,19795.0,ns,4
bench atonce with size 2048,SHA384,,,,29684.0,ns,6
bench atonce with size 2048,SHA384,,,,39607.0,ns,8
bench atonce with size 2048,SHA384,,,,69097.0,ns,10
bench atonce with size 2048,SHA384,,,,114729.0,ns,12
bench atonce with size 2048,SHA384,,,,69318.0,ns,14
bench atonce with size 2048,SHA384,,,,79349.0,ns,16
bench atonce with size 2048,SHA384,,,,108834.0,ns,18
bench atonce with size 2048,SHA384,,,,158059.0,ns,20
bench atonce with size 2048,SHA384,,,,194767.0,ns,22
bench atonce with size 2048,SHA384,,,,119104.0,ns,24
bench atonce with size 2048,SHA384,,,,128638.0,ns,26
bench atonce with size 2048,SHA384,,,,138416.0,ns,28
bench atonce with size 2048,SHA384,,,,148366.0,ns,30
bench atonce with size 2048,SHA384,,,,158256.0,ns,32
bench atonce with size 2048,SHA384,,,,168160.0,ns,34
bench atonce with size 2048,SHA384,,,,178017.0,ns,36
bench atonce with size 2048,SHA384,,,,187860.0,ns,38
bench atonce with size 2048,SHA384,,,,297611.0,ns,40
bench atonce with size 2048,SHA384,,,,390617.0,ns,42
bench atonce with size 2048,SHA384,,,,235551.0,ns,44
bench atonce with size 2048,SHA384,,,,228997.0,ns,46
bench atonce with size 2048,SHA384,,,,240799.0,ns,48
bench atonce with size 2048,SHA384,,,,367728.0,ns,50
bench atonce with size 2048,SHA384,,,,315169.0,ns,52
bench atonce with size 2048,SHA384,,,,289606.0,ns,54
bench atonce with size 2048,SHA384,,,,445092.0,ns,56
bench atonce with size 2048,SHA384,,,,287521.0,ns,58
bench atonce with size 2048,SHA384,,,,298636.0,ns,60
bench atonce with size 2048,SHA384,,,,327101.0,ns,62
bench atonce with size 2048,SHA384,,,,370975.0,ns,64
bench atonce with size 2048,SHA384,,,,441967.0,ns,66
bench atonce with size 2048,SHA384,,,,454583.0,ns,68
bench atonce with size 2048,SHA384,,,,399137.0,ns,70
bench atonce with size 2048,SHA384,,,,516875.0,ns,72
bench atonce with size 2048,SHA384,,,,400222.0,ns,74
bench atonce with size 2048,SHA384,,,,575070.0,ns,76
bench atonce with size 2048,SHA384,,,,519957.0,ns,78
bench atonce with size 2048,SHA384,,,,406201.0,ns,80
bench atonce with size 2048,SHA384,,,,416361.0,ns,82
bench atonce with size 2048,SHA384,,,,426471.0,ns,84
bench atonce with size 2048,SHA384,,,,503975.0,ns,86
bench atonce with size 2048,SHA384,,,,446867.0,ns,88
