group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench atonce with size 64,SHA384,,,,10337.0,ns,27
bench atonce with size 64,SHA384,,,,19989.0,ns,54
bench atonce with size 64,SHA384,,,,66424.0,ns,81
bench atonce with size 64,SHA384,,,,40027.0,ns,108
bench atonce with size 64,SHA384,,,,70237.0,ns,135
bench atonce with size 64,SHA384,,,,113718.0,ns,162
bench atonce with size 64,SHA384,,,,70635.0,ns,189
bench atonce with size 64,SHA384,,,,80820.0,ns,216
bench atonce with size 64,SHA384,,,,131126.0,ns,243
bench atonce with size 64,SHA384,,,,191918.0,ns,270
bench atonce with size 64,SHA384,,,,110312.0,ns,297
bench atonce with size 64,SHA384,,,,119895.0,ns,324
bench atonce with size 64,SHA384,,,,129887.0,ns,351
bench atonce with size 64,SHA384,,,,139898.0,ns,378
bench atonce with size 64,SHA384,,,,149832.0,ns,405
bench atonce with size 64,SHA384,,,,159862.0,ns,432
bench atonce with size 64,SHA384,,,,169762.0,ns,459
bench atonce with size 64,SHA384,,,,179842.0,ns,486
bench atonce with size 64,SHA384,,,,259910.0,ns,513
bench atonce with size 64,SHA384,,,,362451.0,ns,540
bench atonce with size 64,SHA384,,,,298272.0,ns,567
bench atonce with size 64,SHA384,,,,221728.0,ns,594
bench atonce with size 64,SHA384,,,,231636.0,ns,621
bench atonce with size 64,SHA384,,,,262121.0,ns,648
bench atonce with size 64,SHA384,,,,343121.0,ns,675
bench atonce with size 64,SHA384,,,,282952.0,ns,702
bench atonce with size 64,SHA384,,,,403540.0,ns,729
bench atonce with size 64,SHA384,,,,355414.0,ns,756
bench atonce with size 64,SHA384,,,,316157.0,ns,783
bench atonce with size 64,SHA384,,,,300824.0,ns,810
bench atonce with size 64,SHA384,,,,311361.0,ns,837
bench atonce with size 64,SHA384,,,,404543.0,ns,864
bench atonce with size 64,SHA384,,,,473917.0,ns,891
bench atonce with size 64,SHA384,,,,560277.0,ns,918
bench atonce with size 64,SHA384,,,,603206.0,ns,945
bench atonce with size 64,SHA384,,,,561137.0,ns,972
bench atonce with size 64,SHA384,,,,625384.0,ns,999
bench atonce with size 64,SHA384,,,,379443.0,ns,1026
bench atonce with size 64,SHA384,,,,517931.0,ns,1053
bench atonce with size 64,SHA384,,,,399519.0,ns,1080
bench atonce with size 64,SHA384,,,,409476.0,ns,1107
bench atonce with size 64,SHA384,,,,442582.0,ns,1134
bench atonce with size 64,SHA384,,,,440949.0,ns,1161
bench atonce with size 64,SHA384,,,,521375.0,ns,1188
bench atonce with size 64,SHA384,,,,461755.0,ns,1215
bench atonce with size 64,SHA384,,,,473209.0,ns,1242
bench atonce with size 64,SHA384,,,,483710.0,ns,1269
bench atonce with size 64,SHA384,,,,643611.0,ns,1296
bench atonce with size 64,SHA384,,,,502566.0,ns,1323
bench atonce with size 64,SHA384,,,,566785.0,ns,1350
bench atonce with size 64,SHA384,,,,527745.0,ns,1377
bench atonce with size 64,SHA384,,,,764994.0,ns,1404
bench atonce with size 64,SHA384,,,,545370.0,ns,1431
bench atonce with size 64,SHA384,,,,554060.0,ns,1458
bench atonce with size 64,SHA384,,,,564089.0,ns,1485
bench atonce with size 64,SHA384,,,,574192.0,ns,1512
bench atonce with size 64,SHA384,,,,584551.0,ns,1539
bench atonce with size 64,SHA384,,,,594675.0,ns,1566
bench atonce with size 64,SHA384,,,,604923.0,ns,1593
bench atonce with size 64,SHA384,,,,615189.0,ns,1620
bench atonce with size 64,SHA384,,,,627767.0,ns,1647
bench atonce with size 64,SHA384,,,,635994.0,ns,1674
bench atonce with size 64,SHA384,,,,646112.0,ns,1701
bench atonce with size 64,SHA384,,,,656259.0,ns,1728
bench atonce with size 64,SHA384,,,,666663.0,ns,1755
bench atonce with size 64,SHA384,,,,676640.0,ns,1782
bench atonce with size 64,SHA384,,,,687413.0,ns,1809
bench atonce with size 64,SHA384,,,,697344.0,ns,1836
bench atonce with size 64,SHA384,,,,819606.0,ns,1863
bench atonce with size 64,SHA384,,,,717918.0,ns,1890
bench atonce with size 64,SHA384,,,,727938.0,ns,1917
bench atonce with size 64,SHA384,,,,738245.0,ns,1944
bench atonce with size 64,SHA384,,,,748253.0,ns,1971
bench atonce with size 64,SHA384,,,,767421.0,ns,1998
bench atonce with size 64,SHA384,,,,866824.0,ns,2025
bench atonce with size 64,SHA384,,,,776980.0,ns,2052
bench atonce with size 64,SHA384,,,,769084.0,ns,2079
bench atonce with size 64,SHA384,,,,835936.0,ns,2106
bench atonce with size 64,SHA384,,,,1052588.0,ns,2133
bench atonce with size 64,SHA384,,,,799078.0,ns,2160
bench atonce with size 64,SHA384,,,,808604.0,ns,2187
bench atonce with size 64,SHA384,,,,818574.0,ns,2214
bench atonce with size 64,SHA384,,,,828662.0,ns,2241
bench atonce with size 64,SHA384,,,,838589.0,ns,2268
bench atonce with size 64,SHA384,,,,886885.0,ns,2295
bench atonce with size 64,SHA384,,,,859250.0,ns,2322
bench atonce with size 64,SHA384,,,,870516.0,ns,2349
bench atonce with size 64,SHA384,,,,878590.0,ns,2376
bench atonce with size 64,SHA384,,,,889121.0,ns,2403
bench atonce with size 64,SHA384,,,,900179.0,ns,2430
bench atonce with size 64,SHA384,,,,950837.0,ns,2457
bench atonce with size 64,SHA384,,,,918324.0,ns,2484
bench atonce with size 64,SHA384,,,,928556.0,ns,2511
bench atonce with size 64,SHA384,,,,938650.0,ns,2538
bench atonce with size 64,SHA384,,,,948630.0,ns,2565
bench atonce with size 64,SHA384,,,,958490.0,ns,2592
bench atonce with size 64,SHA384,,,,1004647.0,ns,2619
bench atonce with size 64,SHA384,,,,979862.0,ns,2646
bench atonce with size 64,SHA384,,,,988495.0,ns,2673
bench atonce with size 64,SHA384,,,,998562.0,ns,2700
bench atonce with size 64,SHA384,,,,1008031.0,ns,2727
bench atonce with size 64,SHA384,,,,1018558.0,ns,2754
bench atonce with size 64,SHA384,,,,1064883.0,ns,2781
bench atonce with size 64,SHA384,,,,1039046.0,ns,2808
bench atonce with size 64,SHA384,,,,1048705.0,ns,2835
bench atonce with size 64,SHA384,,,,1058974.0,ns,2862
bench atonce with size 64,SHA384,,,,1068709.0,ns,2889
bench atonce with size 64,SHA384,,,,1079673.0,ns,2916
bench atonce with size 64,SHA384,,,,1125135.0,ns,2943
bench atonce with size 64,SHA384,,,,1139445.0,ns,2970
bench atonce with size 64,SHA384,,,,1108413.0,ns,2997
bench atonce with size 64,SHA384,,,,1118316.0,ns,3024
bench atonce with size 64,SHA384,,,,1128728.0,ns,3051
bench atonce with size 64,SHA384,,,,1138293.0,ns,3078
bench atonce with size 64,SHA384,,,,1184298.0,ns,3105
bench atonce with size 64,SHA384,,,,1157935.0,ns,3132
bench atonce with size 64,SHA384,,,,1169761.0,ns,3159
bench atonce with size 64,SHA384,,,,1178692.0,ns,3186
bench atonce with size 64,SHA384,,,,1188551.0,ns,3213
bench atonce with size 64,SHA384,,,,1234906.0,ns,3240
bench atonce with size 64,SHA384,,,,1208249.0,ns,3267
bench atonce with size 64,SHA384,,,,1333943.0,ns,3294
bench atonce with size 64,SHA384,,,,1227381.0,ns,3321
bench atonce with size 64,SHA384,,,,1237521.0,ns,3348
bench atonce with size 64,SHA384,,,,1286920.0,ns,3375
bench atonce with size 64,SHA384,,,,1258509.0,ns,3402
bench atonce with size 64,SHA384,,,,1269951.0,ns,3429
bench atonce with size 64,SHA384,,,,1315701.0,ns,3456
bench atonce with size 64,SHA384,,,,1288705.0,ns,3483
bench atonce with size 64,SHA384,,,,1334324.0,ns,3510
bench atonce with size 64,SHA384,,,,1308092.0,ns,3537
bench atonce with size 64,SHA384,,,,1319314.0,ns,3564
bench atonce with size 64,SHA384,,,,1328268.0,ns,3591
bench atonce with size 64,SHA384,,,,1337776.0,ns,3618
bench atonce with size 64,SHA384,,,,1421030.0,ns,3645
bench atonce with size 64,SHA384,,,,1527036.0,ns,3672
bench atonce with size 64,SHA384,,,,1477693.0,ns,3699
bench atonce with size 64,SHA384,,,,1541666.0,ns,3726
bench atonce with size 64,SHA384,,,,1563638.0,ns,3753
bench atonce with size 64,SHA384,,,,1398521.0,ns,3780
bench atonce with size 64,SHA384,,,,1444086.0,ns,3807
bench atonce with size 64,SHA384,,,,1418593.0,ns,3834
bench atonce with size 64,SHA384,,,,1429789.0,ns,3861
bench atonce with size 64,SHA384,,,,1438715.0,ns,3888
bench atonce with size 64,SHA384,,,,1589018.0,ns,3915
bench atonce with size 64,SHA384,,,,1457915.0,ns,3942
bench atonce with size 64,SHA384,,,,1467754.0,ns,3969
bench atonce with size 64,SHA384,,,,1551103.0,ns,3996
bench atonce with size 64,SHA384,,,,1488150.0,ns,4023
bench atonce with size 64,SHA384,,,,1499222.0,ns,4050
bench atonce with size 64,SHA384,,,,1507788.0,ns,4077
bench atonce with size 64,SHA384,,,,1518143.0,ns,4104
bench atonce with size 64,SHA384,,,,1527747.0,ns,4131
bench atonce with size 64,SHA384,,,,1813017.0,ns,4158
bench atonce with size 64,SHA384,,,,1547178.0,ns,4185
bench atonce with size 64,SHA384,,,,1557697.0,ns,4212
bench atonce with size 64,SHA384,,,,1568805.0,ns,4239
bench atonce with size 64,SHA384,,,,1649360.0,ns,4266
bench atonce with size 64,SHA384,,,,1588270.0,ns,4293
bench atonce with size 64,SHA384,,,,1600033.0,ns,4320
bench atonce with size 64,SHA384,,,,1608618.0,ns,4347
bench atonce with size 64,SHA384,,,,1618634.0,ns,4374
bench atonce with size 64,SHA384,,,,1628370.0,ns,4401
bench atonce with size 64,SHA384,,,,1638647.0,ns,4428
bench atonce with size 64,SHA384,,,,1786324.0,ns,4455
bench atonce with size 64,SHA384,,,,1659042.0,ns,4482
bench atonce with size 64,SHA384,,,,1667749.0,ns,4509
bench atonce with size 64,SHA384,,,,1678091.0,ns,4536
bench atonce with size 64,SHA384,,,,1822714.0,ns,4563
bench atonce with size 64,SHA384,,,,1697414.0,ns,4590
bench atonce with size 64,SHA384,,,,1743844.0,ns,4617
bench atonce with size 64,SHA384,,,,1719124.0,ns,4644
bench atonce with size 64,SHA384,,,,1726563.0,ns,4671
bench atonce with size 64,SHA384,,,,1738101.0,ns,4698
